# Exported from gene cards searching for "growth factor" in "summary" on 2022-01-14
Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"IGF1","Insulin Like Growth Factor 1","Protein Coding","47","GC12M102395","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"PDGFB","Platelet Derived Growth Factor Subunit B","Protein Coding","47","GC22M053523","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB"
"FGF8","Fibroblast Growth Factor 8","Protein Coding","44","GC10M101770","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF8"
"FGF17","Fibroblast Growth Factor 17","Protein Coding","43","GC08P022042","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF17"
"FGF23","Fibroblast Growth Factor 23","Protein Coding","43","GC12M004368","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23"
"LAMA3","Laminin Subunit Alpha 3","Protein Coding","43","GC18P023689","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3"
"SLIT2","Slit Guidance Ligand 2","Protein Coding","43","GC04P020287","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLIT2"
"FGF14","Fibroblast Growth Factor 14","Protein Coding","42","GC13M101710","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF14"
"FGF5","Fibroblast Growth Factor 5","Protein Coding","42","GC04P080266","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF5"
"FGF12","Fibroblast Growth Factor 12","Protein Coding","41","GC03M192139","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF12"
"FGF9","Fibroblast Growth Factor 9","Protein Coding","41","GC13P021671","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF9"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","41","GC07P047280","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
"PPBP","Pro-Platelet Basic Protein","Protein Coding","41","GC04M073986","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPBP"
"IGFBP4","Insulin Like Growth Factor Binding Protein 4","Protein Coding","40","GC17P040443","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP4"
"PGF","Placental Growth Factor","Protein Coding","40","GC14M074941","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGF"
"FGF7","Fibroblast Growth Factor 7","Protein Coding","39","GC15P049423","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF7"
"FIBP","FGF1 Intracellular Binding Protein","Protein Coding","39","GC11M080039","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIBP"
"FGF20","Fibroblast Growth Factor 20","Protein Coding","37","GC08M016992","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF20"
"FGF21","Fibroblast Growth Factor 21","Protein Coding","37","GC19P048790","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF21"
"FGF22","Fibroblast Growth Factor 22","Protein Coding","36","GC19P000639","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF22"
"FGF6","Fibroblast Growth Factor 6","Protein Coding","36","GC12M004789","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF6"
"KAZALD1","Kazal Type Serine Peptidase Inhibitor Domain 1","Protein Coding","34","GC10P101061","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KAZALD1"
"FRS3","Fibroblast Growth Factor Receptor Substrate 3","Protein Coding","34","GC06M056732","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRS3"
"SNX4","Sorting Nexin 4","Protein Coding","34","GC03M125446","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX4"
"VEGFD","Vascular Endothelial Growth Factor D","Protein Coding","31","GC0XM015345","2.11675691604614","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFD"
"ERBB4","Erb-B2 Receptor Tyrosine Kinase 4","Protein Coding","52","GC02M211375","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","51","GC14M104769","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"AKT3","AKT Serine/Threonine Kinase 3","Protein Coding","51","GC01M243488","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT3"
"FGFR2","Fibroblast Growth Factor Receptor 2","Protein Coding","51","GC10M121478","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR2"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","51","GC08M038400","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","51","GC17P039687","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","50","GC12P056845","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"KDR","Kinase Insert Domain Receptor","Protein Coding","50","GC04M055078","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR"
"ADAM17","ADAM Metallopeptidase Domain 17","Protein Coding","48","GC02M009488","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAM17"
"PLCG1","Phospholipase C Gamma 1","Protein Coding","46","GC20P041136","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCG1"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","46","GC06P043770","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","45","GC05M037812","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"FGF1","Fibroblast Growth Factor 1","Protein Coding","45","GC05M142555","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF1"
"GRN","Granulin Precursor","Protein Coding","45","GC17P044345","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRN"
"FGF10","Fibroblast Growth Factor 10","Protein Coding","44","GC05M044340","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF10"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","44","GC15P090868","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"PTPN2","Protein Tyrosine Phosphatase Non-Receptor Type 2","Protein Coding","44","GC18M021807","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN2"
"NRP1","Neuropilin 1","Protein Coding","44","GC10M033177","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1"
"TYMP","Thymidine Phosphorylase","Protein Coding","44","GC22M050525","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"IGFBP7","Insulin Like Growth Factor Binding Protein 7","Protein Coding","43","GC04M057030","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP7"
"EFEMP1","EGF Containing Fibulin Extracellular Matrix Protein 1","Protein Coding","43","GC02M055865","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFEMP1"
"NGFR","Nerve Growth Factor Receptor","Protein Coding","43","GC17P049495","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR"
"CCNB2","Cyclin B2","Protein Coding","42","GC15P059105","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB2"
"GRB14","Growth Factor Receptor Bound Protein 14","Protein Coding","42","GC02M164492","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB14"
"GRB7","Growth Factor Receptor Bound Protein 7","Protein Coding","42","GC17P040609","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB7"
"LTBP1","Latent Transforming Growth Factor Beta Binding Protein 1","Protein Coding","42","GC02P033027","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP1"
"LTBP2","Latent Transforming Growth Factor Beta Binding Protein 2","Protein Coding","42","GC14M074498","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP2"
"NRP2","Neuropilin 2","Protein Coding","42","GC02P205681","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP2"
"SOCS2","Suppressor Of Cytokine Signaling 2","Protein Coding","42","GC12P093569","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOCS2"
"BMP6","Bone Morphogenetic Protein 6","Protein Coding","41","GC06P007726","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP6"
"IGFBP2","Insulin Like Growth Factor Binding Protein 2","Protein Coding","41","GC02P216632","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2"
"LEFTY2","Left-Right Determination Factor 2","Protein Coding","41","GC01M225937","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEFTY2"
"BMP3","Bone Morphogenetic Protein 3","Protein Coding","40","GC04P081030","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP3"
"BMP5","Bone Morphogenetic Protein 5","Protein Coding","40","GC06M055753","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5"
"FGFRL1","Fibroblast Growth Factor Receptor Like 1","Protein Coding","40","GC04P001139","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFRL1"
"HBEGF","Heparin Binding EGF Like Growth Factor","Protein Coding","40","GC05M140332","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBEGF"
"GRB10","Growth Factor Receptor Bound Protein 10","Protein Coding","40","GC07M050590","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB10"
"GDF6","Growth Differentiation Factor 6","Protein Coding","40","GC08M096142","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF6"
"IGFBP6","Insulin Like Growth Factor Binding Protein 6","Protein Coding","40","GC12P053097","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP6"
"IGF2BP3","Insulin Like Growth Factor 2 MRNA Binding Protein 3","Protein Coding","40","GC07M023316","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP3"
"GDF2","Growth Differentiation Factor 2","Protein Coding","40","GC10P047322","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF2"
"PDGFRL","Platelet Derived Growth Factor Receptor Like","Protein Coding","40","GC08P017576","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRL"
"LTBP3","Latent Transforming Growth Factor Beta Binding Protein 3","Protein Coding","40","GC11M065538","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP3"
"INHBB","Inhibin Subunit Beta B","Protein Coding","40","GC02P120559","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB"
"TDGF1","Teratocarcinoma-Derived Growth Factor 1","Protein Coding","40","GC03P046658","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDGF1"
"NODAL","Nodal Growth Differentiation Factor","Protein Coding","40","GC10M070431","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NODAL"
"PTN","Pleiotrophin","Protein Coding","40","GC07M137227","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTN"
"GDF11","Growth Differentiation Factor 11","Protein Coding","39","GC12P055743","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF11"
"GDF15","Growth Differentiation Factor 15","Protein Coding","39","GC19P031561","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF15"
"LEFTY1","Left-Right Determination Factor 1","Protein Coding","39","GC01M225887","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEFTY1"
"UBASH3B","Ubiquitin Associated And SH3 Domain Containing B","Protein Coding","39","GC11P122655","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBASH3B"
"CRELD1","Cysteine Rich With EGF Like Domains 1","Protein Coding","38","GC03P011623","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRELD1"
"CD109","CD109 Molecule","Protein Coding","38","GC06P073695","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD109"
"BMP15","Bone Morphogenetic Protein 15","Protein Coding","38","GC0XP050910","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP15"
"ARTN","Artemin","Protein Coding","38","GC01P043933","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARTN"
"FGF11","Fibroblast Growth Factor 11","Protein Coding","38","GC17P010066","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF11"
"FGF16","Fibroblast Growth Factor 16","Protein Coding","38","GC0XP077447","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF16"
"FGFBP1","Fibroblast Growth Factor Binding Protein 1","Protein Coding","38","GC04M015937","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFBP1"
"IGF2BP1","Insulin Like Growth Factor 2 MRNA Binding Protein 1","Protein Coding","38","GC17P048997","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP1"
"GDF3","Growth Differentiation Factor 3","Protein Coding","38","GC12M007689","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF3"
"HDGF","Heparin Binding Growth Factor","Protein Coding","38","GC01M156856","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDGF"
"GDF9","Growth Differentiation Factor 9","Protein Coding","38","GC05M132861","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF9"
"CRIM1","Cysteine Rich Transmembrane BMP Regulator 1","Protein Coding","38","GC02P036355","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRIM1"
"PAPPA2","Pappalysin 2","Protein Coding","38","GC01P176463","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAPPA2"
"OGN","Osteoglycin","Protein Coding","38","GC09M092383","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OGN"
"NRTN","Neurturin","Protein Coding","38","GC19P005805","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRTN"
"CLEC11A","C-Type Lectin Domain Containing 11A","Protein Coding","37","GC19P050723","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC11A"
"PMEPA1","Prostate Transmembrane Protein, Androgen Induced 1","Protein Coding","37","GC20M057648","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMEPA1"
"NRG4","Neuregulin 4","Protein Coding","37","GC15M076457","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRG4"
"VPS39","VPS39 Subunit Of HOPS Complex","Protein Coding","37","GC15M042159","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS39"
"API5","Apoptosis Inhibitor 5","Protein Coding","36","GC11P043311","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=API5"
"BMP8B","Bone Morphogenetic Protein 8b","Protein Coding","36","GC01M039757","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP8B"
"BMP8A","Bone Morphogenetic Protein 8a","Protein Coding","36","GC01P039492","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP8A"
"GDF7","Growth Differentiation Factor 7","Protein Coding","36","GC02P020666","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF7"
"EPS8L3","EPS8 Like 3","Protein Coding","36","GC01M109751","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS8L3"
"REPS2","RALBP1 Associated Eps Domain Containing 2","Protein Coding","36","GC0XP016946","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REPS2"
"PSPN","Persephin","Protein Coding","36","GC19M006375","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSPN"
"VGF","VGF Nerve Growth Factor Inducible","Protein Coding","36","GC07M101162","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VGF"
"GDF1","Growth Differentiation Factor 1","Protein Coding","35","GC19M018843","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF1"
"GDF10","Growth Differentiation Factor 10","Protein Coding","35","GC10P047300","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDF10"
"EPS8L1","EPS8 Like 1","Protein Coding","35","GC19P060555","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS8L1"
"MACC1","MET Transcriptional Regulator MACC1","Protein Coding","35","GC07M020140","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACC1"
"SNX15","Sorting Nexin 15","Protein Coding","35","GC11P065031","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX15"
"PROK1","Prokineticin 1","Protein Coding","34","GC01P110451","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1"
"TGFBRAP1","Transforming Growth Factor Beta Receptor Associated Protein 1","Protein Coding","34","GC02M105250","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBRAP1"
"GIGYF1","GRB10 Interacting GYF Protein 1","Protein Coding","33","GC07M100679","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIGYF1"
"HTRA4","HtrA Serine Peptidase 4","Protein Coding","33","GC08P038976","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA4"
"FGFBP2","Fibroblast Growth Factor Binding Protein 2","Protein Coding","32","GC04M015961","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFBP2"
"CCN6","Cellular Communication Network Factor 6","Protein Coding","31","GC06P112053","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN6"
"NKD2","NKD Inhibitor Of WNT Signaling Pathway 2","Protein Coding","31","GC05P001008","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKD2"
"UQCC1","Ubiquinol-Cytochrome C Reductase Complex Assembly Factor 1","Protein Coding","31","GC20M035302","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UQCC1"
"CCN4","Cellular Communication Network Factor 4","Protein Coding","28","GC08P133192","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN4"
"CCN5","Cellular Communication Network Factor 5","Protein Coding","28","GC20P044715","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN5"
"AIRN","Antisense Of IGF2R Non-Protein Coding RNA","RNA Gene","17","GC06M160003","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRN"
"LOC110351180","IBSP 5' Regulatory Region","Biological Region","1","GC04P087794","1.72832489013672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110351180"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","52","GC04P001795","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","51","GC07M140726","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"INSR","Insulin Receptor","Protein Coding","51","GC19M007112","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"MAP2K2","Mitogen-Activated Protein Kinase Kinase 2","Protein Coding","51","GC19M004090","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K2"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","51","GC03M012583","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"JAK2","Janus Kinase 2","Protein Coding","50","GC09P004985","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"LCK","LCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","50","GC01P032251","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCK"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","50","GC09P099104","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"FLT4","Fms Related Receptor Tyrosine Kinase 4","Protein Coding","49","GC05M180607","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT4"
"PLCG2","Phospholipase C Gamma 2","Protein Coding","49","GC16P081773","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLCG2"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","49","GC19M041301","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","49","GC20P037344","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"ACVR1","Activin A Receptor Type 1","Protein Coding","48","GC02M157736","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1"
"ACVR2B","Activin A Receptor Type 2B","Protein Coding","48","GC03P038453","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR2B"
"JAG1","Jagged Canonical Notch Ligand 1","Protein Coding","48","GC20M010637","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1"
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","48","GC20P050510","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"TEK","TEK Receptor Tyrosine Kinase","Protein Coding","48","GC09P027109","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK"
"SMAD4","SMAD Family Member 4","Protein Coding","48","GC18P051028","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"NOTCH1","Notch Receptor 1","Protein Coding","48","GC09M137034","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"TGFB2","Transforming Growth Factor Beta 2","Protein Coding","48","GC01P218345","1.22211027145386","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB2"
